Show,Total Boletos,Nombre Localidad,Forma de Pago,Estado de Pago,EsCompartido,TipoShow,Mes,Día,Periodo,Mes_Show,Día_Show,Periodo_Show
San Juanes Santa Rosa del Tejar,3,PALCO,AppExterna,0,0,Talleres,Enero,Sábado,Mañana,Diciembre,Martes,Tarde
LA ULTIMA ESPERANZA,7,BOLETO SOLIDARIO,AppExterna,0,0,Cine,Enero,Viernes,Noche,Noviembre,Martes,Noche
Mujer de Piedra,9,SALA 2,Wallet,0,0,Talleres,Enero,Martes,Noche,Julio,Viernes,Noche
28ava Asamblea Nacional,6,VENTA OFICIAL,Wallet,1,0,Ferias,Enero,Miércoles,Tarde,Junio,Sábado,Tarde
ALZATE,6,FUNCIÓN 3,PayPhone,1,0,Donación,Enero,Sábado,Tarde,Noviembre,Jueves,Tarde
LA ULTIMA ESPERANZA,9,GENERAL,Wallet,1,1,Teatro,Enero,Martes,Tarde,Agosto,Lunes,Noche
Libertad Vs U Catolica,1,BOLETO SOLIDARIO,Wallet,1,1,Talleres,Enero,Jueves,Noche,Octubre,Miércoles,Mañana
LA ULTIMA ESPERANZA,1,SILLAS DIGITAL,PayPhone,1,0,Concierto,Enero,Martes,Mañana,Junio,Viernes,Noche
Ibarra Fight League,3,TRIBUNA NORTE,PayPhone,1,0,Cine,Enero,Jueves,Noche,Julio,Domingo,Mañana
MOANA 2,1,SALA 1 3D,PayPhone,1,0,Deporte,Enero,Domingo,Tarde,Agosto,Jueves,Noche
JORGE GUZMAN VS BARCELONA,6,SALA 2,PayPhone,1,1,Concierto,Enero,Miércoles,Mañana,Agosto,Lunes,Mañana
Mujer de Piedra,5,Golden Box,PayPhone,0,0,Donación,Enero,Lunes,Noche,Febrero,Miércoles,Mañana
LA ULTIMA ESPERANZA,5,TRIBUNA NORTE,Wallet,1,0,Talleres,Enero,Sábado,Tarde,Mayo,Jueves,Mañana
LA BRUMA FEST,1,PLATEA BAJA,AppExterna,1,0,Concierto,Enero,Miércoles,Tarde,Agosto,Miércoles,Mañana
LIBERTAD FC VS Emelec SC,7,SALA 1 3D,Wallet,0,0,Concierto,Enero,Miércoles,Noche,Junio,Jueves,Tarde
Ibarra Fight League,6,SILLAS DIGITAL,Wallet,1,1,Teatro,Enero,Jueves,Tarde,Septiembre,Lunes,Noche
28ava Asamblea Nacional,6,GOLDEN,PayPhone,0,0,Cine,Enero,Martes,Noche,Diciembre,Domingo,Noche
Mujer de Piedra,7,BOLETO PALCO,Wallet,0,0,Teatro,Enero,Miércoles,Tarde,Noviembre,Viernes,Mañana
San Juanes Santa Rosa del Tejar,6,FUNCIÓN 1,Wallet,1,1,Otro,Enero,Viernes,Mañana,Diciembre,Miércoles,Mañana
ALZATE,5,CORTESÍAS VIP,Wallet,1,1,Teatro,Enero,Martes,Noche,Noviembre,Sábado,Mañana
ALZATE,9,PLATEA ALTA,PayPhone,0,0,Otro,Enero,Jueves,Mañana,Octubre,Jueves,Noche
Mujer de Piedra,5,SILLAS DIGITAL,AppExterna,1,0,Cine,Enero,Jueves,Noche,Agosto,Sábado,Mañana
Los peces no vuelan,4,BOLETO SOLIDARIO,PayPhone,1,1,Deporte,Enero,Sábado,Mañana,Mayo,Domingo,Mañana
Los peces no vuelan,3,PRESIDENTES,AppExterna,0,1,Deporte,Enero,Martes,Noche,Septiembre,Domingo,Tarde
TARDE CLIPP,3,TRIBUNA NORTE,AppExterna,0,0,Talleres,Enero,Miércoles,Noche,Julio,Sábado,Mañana
RALLY PROVINCIA DE LOJA,8,VENTA OFICIAL,AppExterna,1,0,Donación,Enero,Miércoles,Noche,Febrero,Lunes,Tarde
San Juanes Santa Rosa del Tejar,6,Adhesiones,PayPhone,0,0,Deporte,Enero,Jueves,Noche,Octubre,Viernes,Tarde
El After de las Artes Vivas,5,PLATINUM,Wallet,1,1,Concierto,Enero,Martes,Noche,Abril,Viernes,Mañana
Libertad Vs U Catolica,6,FUNCIÓN 3,AppExterna,0,0,Cine,Enero,Martes,Noche,Septiembre,Viernes,Noche
ALZATE,5,PLATINUM,AppExterna,0,1,Donación,Enero,Jueves,Noche,Marzo,Jueves,Noche
TARDE CLIPP,7,PLATINUM,AppExterna,0,0,Otro,Enero,Martes,Tarde,Noviembre,Jueves,Mañana
Los peces no vuelan,5,SALA 3,AppExterna,0,0,Ferias,Enero,Martes,Mañana,Diciembre,Martes,Noche
La Inocente,6,SALA 2,Wallet,0,0,Talleres,Enero,Lunes,Noche,Abril,Miércoles,Noche
FESTIVAL DE LA CHICHA,4,VENTA OFICIAL,AppExterna,0,1,Donación,Enero,Martes,Tarde,Abril,Martes,Noche
Sensa 20,8,SALA 2,PayPhone,1,0,Talleres,Enero,Lunes,Mañana,Agosto,Jueves,Noche
La Inocente,6,SALA 1 3D,Wallet,0,0,Cine,Enero,Miércoles,Noche,Febrero,Martes,Tarde
JORGE GUZMAN VS BARCELONA,6,GENERAL,AppExterna,1,0,Donación,Enero,Domingo,Tarde,Febrero,Lunes,Mañana
Libertad Vs U Catolica,8,BOLETO PALCO,PayPhone,0,1,Talleres,Enero,Martes,Tarde,Junio,Miércoles,Tarde
TARDE CLIPP,1,FUNCIÓN 3,Wallet,1,0,Ferias,Enero,Domingo,Tarde,Abril,Miércoles,Mañana
LA BRUMA FEST,1,CORTESÍAS VIP,AppExterna,0,1,Concierto,Enero,Miércoles,Tarde,Octubre,Domingo,Tarde
ALZATE,9,SALA 1 2D,Wallet,0,0,Donación,Enero,Miércoles,Mañana,Octubre,Martes,Tarde
Sensa 20,2,BOLETO SOLIDARIO,AppExterna,0,1,Deporte,Enero,Miércoles,Tarde,Septiembre,Viernes,Noche
A pebble falling on a silent lake,3,GOLDEN,Wallet,1,0,Otro,Enero,Martes,Noche,Diciembre,Domingo,Tarde
LIBERTAD FC VS Emelec SC,5,Adhesiones,PayPhone,0,1,Deporte,Enero,Domingo,Mañana,Febrero,Sábado,Noche
Los peces no vuelan,4,PREVENTA ,Wallet,1,0,Donación,Enero,Domingo,Tarde,Febrero,Sábado,Mañana
Sensa 20,1,TRIBUNA NORTE,PayPhone,1,1,Teatro,Enero,Sábado,Noche,Junio,Viernes,Noche
El After de las Artes Vivas,3,SILLAS DIGITAL,PayPhone,1,0,Otro,Enero,Miércoles,Noche,Julio,Domingo,Noche
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,3,PREVENTA ,AppExterna,1,0,Talleres,Enero,Viernes,Noche,Marzo,Miércoles,Tarde
JORGE GUZMAN VS BARCELONA,3,SALA 3,PayPhone,1,1,Otro,Enero,Jueves,Mañana,Septiembre,Domingo,Tarde
LA ULTIMA ESPERANZA,5,BOLETO GENERAL,PayPhone,1,1,Deporte,Enero,Jueves,Noche,Octubre,Domingo,Mañana
CAPACITACION FERIA,8,PLATEA BAJA,PayPhone,1,0,Teatro,Enero,Sábado,Tarde,Abril,Domingo,Noche
A pebble falling on a silent lake,3,CORTESÍAS GOLDEN,Wallet,1,0,Talleres,Enero,Domingo,Tarde,Agosto,Viernes,Noche
Sensa 20,2,PRESIDENTES,AppExterna,1,0,Talleres,Enero,Domingo,Noche,Junio,Miércoles,Mañana
Los peces no vuelan,3,CORTESÍAS,Wallet,1,1,Ferias,Enero,Miércoles,Tarde,Noviembre,Lunes,Noche
LA MOSCA,9,FUNCIÓN 2,PayPhone,0,0,Teatro,Enero,Sábado,Noche,Abril,Jueves,Mañana
Sensa 20,6,GENERAL,Wallet,1,1,Donación,Enero,Lunes,Mañana,Noviembre,Jueves,Tarde
LA BRUMA FEST,4,PLATEA BAJA,PayPhone,1,1,Talleres,Enero,Martes,Tarde,Diciembre,Jueves,Mañana
CAPACITACION FERIA,9,GENERAL,AppExterna,1,0,Otro,Enero,Sábado,Tarde,Mayo,Sábado,Noche
LA MOSCA,2,INSCRIPCIÓN DIGITAL,PayPhone,1,1,Donación,Enero,Domingo,Mañana,Mayo,Miércoles,Mañana
JORGE GUZMAN VS BARCELONA,4,SALA 3,Wallet,1,1,Concierto,Enero,Domingo,Noche,Marzo,Lunes,Mañana
LA MOSCA,3,SALA 2,AppExterna,1,0,Ferias,Enero,Martes,Mañana,Marzo,Sábado,Noche
MOANA 2,9,TRIBUNA NORTE,PayPhone,0,0,Talleres,Enero,Martes,Noche,Febrero,Viernes,Noche
Los peces no vuelan,5,INSCRIPCIÓN DIGITAL,AppExterna,0,0,Otro,Enero,Lunes,Noche,Noviembre,Jueves,Tarde
Inscripciones Ibarra Fight League,3,BOLETO SOLIDARIO,AppExterna,0,0,Talleres,Enero,Jueves,Tarde,Julio,Viernes,Mañana
San Juanes Santa Rosa del Tejar,9,GOLDEN,PayPhone,1,1,Otro,Enero,Lunes,Mañana,Marzo,Miércoles,Tarde
Inscripciones Ibarra Fight League,6,BOLETO SOLIDARIO,Wallet,1,1,Teatro,Enero,Domingo,Mañana,Julio,Miércoles,Mañana
San Juanes Santa Rosa del Tejar,7,PLATINUM,Wallet,0,1,Ferias,Enero,Jueves,Noche,Noviembre,Lunes,Tarde
El viaje de la Santa,3,CORTESÍAS VIP,AppExterna,1,0,Teatro,Enero,Domingo,Tarde,Junio,Martes,Tarde
DESAYUNO EMPRESARIAL,3,SALA 1 3D,AppExterna,0,0,Teatro,Enero,Sábado,Noche,Marzo,Martes,Mañana
ALZATE,8,TRIBUNA SUR,Wallet,0,1,Talleres,Enero,Martes,Mañana,Abril,Lunes,Mañana
LA ULTIMA ESPERANZA,1,SILLAS DIGITAL,AppExterna,0,1,Deporte,Enero,Jueves,Mañana,Julio,Sábado,Noche
LA ULTIMA ESPERANZA,6,SALA 1 3D,Wallet,1,0,Cine,Enero,Sábado,Noche,Marzo,Sábado,Noche
LA ULTIMA ESPERANZA,9,PLATEA MEDIA,Wallet,1,0,Cine,Enero,Lunes,Noche,Abril,Domingo,Noche
A pebble falling on a silent lake,9,VIP,PayPhone,1,0,Concierto,Enero,Miércoles,Mañana,Octubre,Domingo,Mañana
El viaje de la Santa,1,BOLETO PALCO,PayPhone,1,0,Deporte,Enero,Viernes,Mañana,Agosto,Domingo,Mañana
