Show,Nombre Localidad,Forma de Pago,Estado de Pago,EsCompartido,Mes,Día,Periodo,Mes_Show,Día_Show,Periodo_Show,Cluster,Total Boletos Pred,TipoShow Pred
San Juanes Santa Rosa del Tejar,PALCO,AppExterna,0,0,Enero,Sábado,Mañana,Diciembre,Martes,Tarde,2,1,Cine
LA ULTIMA ESPERANZA,BOLETO SOLIDARIO,AppExterna,0,0,Enero,Viernes,Noche,Noviembre,Martes,Noche,0,3,Teatro
Mujer de Piedra,SALA 2,Wallet,0,0,Enero,Martes,Noche,Julio,Viernes,Noche,2,1,Cine
28ava Asamblea Nacional,VENTA OFICIAL,Wallet,1,0,Enero,Miércoles,Tarde,Junio,Sábado,Tarde,2,2,Deporte
ALZATE,FUNCIÓN 3,PayPhone,1,0,Enero,Sábado,Tarde,Noviembre,Jueves,Tarde,2,2,Teatro
LA ULTIMA ESPERANZA,GENERAL,Wallet,1,1,Enero,Martes,Tarde,Agosto,Lunes,Noche,2,2,Deporte
Libertad Vs U Catolica,BOLETO SOLIDARIO,Wallet,1,1,Enero,Jueves,Noche,Octubre,Miércoles,Mañana,2,1,Teatro
LA ULTIMA ESPERANZA,SILLAS DIGITAL,PayPhone,1,0,Enero,Martes,Mañana,Junio,Viernes,Noche,2,2,Cine
Ibarra Fight League,TRIBUNA NORTE,PayPhone,1,0,Enero,Jueves,Noche,Julio,Domingo,Mañana,2,2,Talleres
MOANA 2,SALA 1 3D,PayPhone,1,0,Enero,Domingo,Tarde,Agosto,Jueves,Noche,2,2,Deporte
JORGE GUZMAN VS BARCELONA,SALA 2,PayPhone,1,1,Enero,Miércoles,Mañana,Agosto,Lunes,Mañana,2,3,Deporte
Mujer de Piedra,Golden Box,PayPhone,0,0,Enero,Lunes,Noche,Febrero,Miércoles,Mañana,2,2,Teatro
LA ULTIMA ESPERANZA,TRIBUNA NORTE,Wallet,1,0,Enero,Sábado,Tarde,Mayo,Jueves,Mañana,2,2,Talleres
LA BRUMA FEST,PLATEA BAJA,AppExterna,1,0,Enero,Miércoles,Tarde,Agosto,Miércoles,Mañana,2,2,Ferias
LIBERTAD FC VS Emelec SC,SALA 1 3D,Wallet,0,0,Enero,Miércoles,Noche,Junio,Jueves,Tarde,2,2,Talleres
Ibarra Fight League,SILLAS DIGITAL,Wallet,1,1,Enero,Jueves,Tarde,Septiembre,Lunes,Noche,2,2,Deporte
28ava Asamblea Nacional,GOLDEN,PayPhone,0,0,Enero,Martes,Noche,Diciembre,Domingo,Noche,2,2,Cine
Mujer de Piedra,BOLETO PALCO,Wallet,0,0,Enero,Miércoles,Tarde,Noviembre,Viernes,Mañana,0,4,Ferias
San Juanes Santa Rosa del Tejar,FUNCIÓN 1,Wallet,1,1,Enero,Viernes,Mañana,Diciembre,Miércoles,Mañana,2,3,Teatro
ALZATE,CORTESÍAS VIP,Wallet,1,1,Enero,Martes,Noche,Noviembre,Sábado,Mañana,0,4,Teatro
ALZATE,PLATEA ALTA,PayPhone,0,0,Enero,Jueves,Mañana,Octubre,Jueves,Noche,2,2,Cine
Mujer de Piedra,SILLAS DIGITAL,AppExterna,1,0,Enero,Jueves,Noche,Agosto,Sábado,Mañana,2,2,Deporte
Los peces no vuelan,BOLETO SOLIDARIO,PayPhone,1,1,Enero,Sábado,Mañana,Mayo,Domingo,Mañana,2,3,Deporte
Los peces no vuelan,PRESIDENTES,AppExterna,0,1,Enero,Martes,Noche,Septiembre,Domingo,Tarde,3,3,Concierto
TARDE CLIPP,TRIBUNA NORTE,AppExterna,0,0,Enero,Miércoles,Noche,Julio,Sábado,Mañana,2,1,Deporte
RALLY PROVINCIA DE LOJA,VENTA OFICIAL,AppExterna,1,0,Enero,Miércoles,Noche,Febrero,Lunes,Tarde,2,1,Deporte
San Juanes Santa Rosa del Tejar,Adhesiones,PayPhone,0,0,Enero,Jueves,Noche,Octubre,Viernes,Tarde,2,2,Concierto
El After de las Artes Vivas,PLATINUM,Wallet,1,1,Enero,Martes,Noche,Abril,Viernes,Mañana,2,2,Deporte
Libertad Vs U Catolica,FUNCIÓN 3,AppExterna,0,0,Enero,Martes,Noche,Septiembre,Viernes,Noche,3,3,Concierto
ALZATE,PLATINUM,AppExterna,0,1,Enero,Jueves,Noche,Marzo,Jueves,Noche,2,2,Cine
TARDE CLIPP,PLATINUM,AppExterna,0,0,Enero,Martes,Tarde,Noviembre,Jueves,Mañana,2,3,Ferias
Los peces no vuelan,SALA 3,AppExterna,0,0,Enero,Martes,Mañana,Diciembre,Martes,Noche,2,2,Cine
La Inocente,SALA 2,Wallet,0,0,Enero,Lunes,Noche,Abril,Miércoles,Noche,2,0,Concierto
FESTIVAL DE LA CHICHA,VENTA OFICIAL,AppExterna,0,1,Enero,Martes,Tarde,Abril,Martes,Noche,2,2,Concierto
Sensa 20,SALA 2,PayPhone,1,0,Enero,Lunes,Mañana,Agosto,Jueves,Noche,2,1,Deporte
La Inocente,SALA 1 3D,Wallet,0,0,Enero,Miércoles,Noche,Febrero,Martes,Tarde,2,2,Otro
JORGE GUZMAN VS BARCELONA,GENERAL,AppExterna,1,0,Enero,Domingo,Tarde,Febrero,Lunes,Mañana,2,2,Deporte
Libertad Vs U Catolica,BOLETO PALCO,PayPhone,0,1,Enero,Martes,Tarde,Junio,Miércoles,Tarde,2,2,Teatro
TARDE CLIPP,FUNCIÓN 3,Wallet,1,0,Enero,Domingo,Tarde,Abril,Miércoles,Mañana,2,2,Teatro
LA BRUMA FEST,CORTESÍAS VIP,AppExterna,0,1,Enero,Miércoles,Tarde,Octubre,Domingo,Tarde,2,2,Concierto
ALZATE,SALA 1 2D,Wallet,0,0,Enero,Miércoles,Mañana,Octubre,Martes,Tarde,2,2,Cine
Sensa 20,BOLETO SOLIDARIO,AppExterna,0,1,Enero,Miércoles,Tarde,Septiembre,Viernes,Noche,3,4,Concierto
A pebble falling on a silent lake,GOLDEN,Wallet,1,0,Enero,Martes,Noche,Diciembre,Domingo,Tarde,2,2,Cine
LIBERTAD FC VS Emelec SC,Adhesiones,PayPhone,0,1,Enero,Domingo,Mañana,Febrero,Sábado,Noche,2,2,Concierto
Los peces no vuelan,PREVENTA ,Wallet,1,0,Enero,Domingo,Tarde,Febrero,Sábado,Mañana,2,2,Deporte
Sensa 20,TRIBUNA NORTE,PayPhone,1,1,Enero,Sábado,Noche,Junio,Viernes,Noche,2,2,Cine
El After de las Artes Vivas,SILLAS DIGITAL,PayPhone,1,0,Enero,Miércoles,Noche,Julio,Domingo,Noche,2,2,Cine
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,PREVENTA ,AppExterna,1,0,Enero,Viernes,Noche,Marzo,Miércoles,Tarde,2,2,Concierto
JORGE GUZMAN VS BARCELONA,SALA 3,PayPhone,1,1,Enero,Jueves,Mañana,Septiembre,Domingo,Tarde,2,2,Concierto
LA ULTIMA ESPERANZA,BOLETO GENERAL,PayPhone,1,1,Enero,Jueves,Noche,Octubre,Domingo,Mañana,2,2,Deporte
CAPACITACION FERIA,PLATEA BAJA,PayPhone,1,0,Enero,Sábado,Tarde,Abril,Domingo,Noche,2,2,Concierto
A pebble falling on a silent lake,CORTESÍAS GOLDEN,Wallet,1,0,Enero,Domingo,Tarde,Agosto,Viernes,Noche,2,1,Concierto
Sensa 20,PRESIDENTES,AppExterna,1,0,Enero,Domingo,Noche,Junio,Miércoles,Mañana,2,1,Teatro
Los peces no vuelan,CORTESÍAS,Wallet,1,1,Enero,Miércoles,Tarde,Noviembre,Lunes,Noche,0,2,Teatro
LA MOSCA,FUNCIÓN 2,PayPhone,0,0,Enero,Sábado,Noche,Abril,Jueves,Mañana,2,3,Deporte
Sensa 20,GENERAL,Wallet,1,1,Enero,Lunes,Mañana,Noviembre,Jueves,Tarde,0,2,Teatro
LA BRUMA FEST,PLATEA BAJA,PayPhone,1,1,Enero,Martes,Tarde,Diciembre,Jueves,Mañana,2,1,Ferias
CAPACITACION FERIA,GENERAL,AppExterna,1,0,Enero,Sábado,Tarde,Mayo,Sábado,Noche,2,2,Concierto
LA MOSCA,INSCRIPCIÓN DIGITAL,PayPhone,1,1,Enero,Domingo,Mañana,Mayo,Miércoles,Mañana,2,2,Teatro
JORGE GUZMAN VS BARCELONA,SALA 3,Wallet,1,1,Enero,Domingo,Noche,Marzo,Lunes,Mañana,2,3,Otro
LA MOSCA,SALA 2,AppExterna,1,0,Enero,Martes,Mañana,Marzo,Sábado,Noche,2,2,Concierto
MOANA 2,TRIBUNA NORTE,PayPhone,0,0,Enero,Martes,Noche,Febrero,Viernes,Noche,2,1,Concierto
Los peces no vuelan,INSCRIPCIÓN DIGITAL,AppExterna,0,0,Enero,Lunes,Noche,Noviembre,Jueves,Tarde,0,1,Teatro
Inscripciones Ibarra Fight League,BOLETO SOLIDARIO,AppExterna,0,0,Enero,Jueves,Tarde,Julio,Viernes,Mañana,2,1,Talleres
San Juanes Santa Rosa del Tejar,GOLDEN,PayPhone,1,1,Enero,Lunes,Mañana,Marzo,Miércoles,Tarde,2,2,Concierto
Inscripciones Ibarra Fight League,BOLETO SOLIDARIO,Wallet,1,1,Enero,Domingo,Mañana,Julio,Miércoles,Mañana,0,7,Teatro
San Juanes Santa Rosa del Tejar,PLATINUM,Wallet,0,1,Enero,Jueves,Noche,Noviembre,Lunes,Tarde,0,2,Teatro
El viaje de la Santa,CORTESÍAS VIP,AppExterna,1,0,Enero,Domingo,Tarde,Junio,Martes,Tarde,2,2,Cine
DESAYUNO EMPRESARIAL,SALA 1 3D,AppExterna,0,0,Enero,Sábado,Noche,Marzo,Martes,Mañana,2,2,Otro
ALZATE,TRIBUNA SUR,Wallet,0,1,Enero,Martes,Mañana,Abril,Lunes,Mañana,2,1,Deporte
LA ULTIMA ESPERANZA,SILLAS DIGITAL,AppExterna,0,1,Enero,Jueves,Mañana,Julio,Sábado,Noche,2,2,Cine
LA ULTIMA ESPERANZA,SALA 1 3D,Wallet,1,0,Enero,Sábado,Noche,Marzo,Sábado,Noche,2,2,Concierto
LA ULTIMA ESPERANZA,PLATEA MEDIA,Wallet,1,0,Enero,Lunes,Noche,Abril,Domingo,Noche,2,2,Concierto
A pebble falling on a silent lake,VIP,PayPhone,1,0,Enero,Miércoles,Mañana,Octubre,Domingo,Mañana,2,2,Deporte
El viaje de la Santa,BOLETO PALCO,PayPhone,1,0,Enero,Viernes,Mañana,Agosto,Domingo,Mañana,2,2,Deporte
MOANA 2,PLATEA BAJA,AppExterna,0,0,Enero,Sábado,Mañana,Septiembre,Domingo,Tarde,3,2,Concierto
28ava Asamblea Nacional,FUNCIÓN 3,AppExterna,0,1,Enero,Viernes,Noche,Mayo,Martes,Mañana,2,1,Talleres
