Show,Total Boletos,Nombre Localidad,Forma de Pago,Estado de Pago,EsCompartido,TipoShow,Mes,Día,Periodo,Mes_Show,Día_Show,Periodo_Show,Cluster
TARDE CLIPP,1,SALA 3,Wallet,1,1,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,2,SALA 3,Wallet,1,0,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,1,SALA 3,Wallet,1,1,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,1,SALA 3,Wallet,1,1,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,1,SALA 3,Wallet,1,1,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,1,SALA 3,Wallet,1,0,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,1,SALA 3,Wallet,1,0,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,2,SALA 3,Wallet,1,0,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,1,SALA 3,Wallet,1,0,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,1,SALA 3,Wallet,1,0,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,1,SALA 3,Wallet,1,1,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,1,SALA 3,Wallet,1,1,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,1,SALA 3,Wallet,1,1,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,1,SALA 3,Wallet,1,0,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,1,SALA 3,Wallet,1,1,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,1,SALA 3,Wallet,1,1,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,1,SALA 3,Wallet,1,0,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,1,SALA 3,Wallet,1,0,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,1,SALA 3,Wallet,1,1,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,1,SALA 3,Wallet,1,1,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,2,SALA 3,Wallet,1,1,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,1,SALA 3,Wallet,1,1,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,1,SALA 3,Wallet,1,0,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,1,SALA 3,Wallet,1,1,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,2,SALA 3,Wallet,1,0,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,1,SALA 3,Wallet,1,0,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,1,SALA 3,Wallet,1,1,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,2,SALA 3,Wallet,1,1,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,2,SALA 3,Wallet,1,0,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,1,SALA 3,Wallet,1,0,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,2,SALA 3,Wallet,1,0,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,2,SALA 3,Wallet,1,0,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,2,SALA 3,Wallet,1,0,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,1,SALA 3,Wallet,1,0,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,2,SALA 3,Wallet,1,0,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,1,SALA 3,Wallet,1,0,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,2,SALA 3,Wallet,1,1,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,1,SALA 3,Wallet,1,0,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
TARDE CLIPP,1,SALA 3,Wallet,1,0,Otro,Enero,Jueves,Tarde,Marzo,Viernes,Tarde,3
